id,Compound_CID,Data_Source,Compound,Source_Chemical_ID,Source_Chemical,Source_Chemical_URL,Source_Target_ID,Source_Target,Source_Target_URL,Protein_Accession,Protein,Gene_ID,Gene,Taxonomy_ID,Taxonomy,Action,Activity_Name,Activity,Evidence_IDs,Evidence_URLs,Evidence_PMIDs,Evidence_DOIs,pmcids,pclids,References
99987,237,Comparative Toxicogenomics Database (CTD),Quinacrine,D011796,Quinacrine,https://ctdbase.org/detail.go?type=chem&acc=D011796,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Quinacrine results in increased cleavage of PARP1 protein,,,PMID:28867437,https://www.ncbi.nlm.nih.gov/pubmed/28867437,28867437,,,27693129,"Huang CH, Lee YC, Chen YJ, Wang LJ, Shi YJ, Chang LS. Quinacrine induces the apoptosis of human leukemia U937 cells through FOXP3/miR-183/ß-TrCP/SP1 axis-mediated BAX upregulation. Toxicol Appl Pharmacol. 2017 Nov 01;334():35–46. doi: 10.1016/j.taap.2017.08.019. PMID: 28867437."
105041,241,Comparative Toxicogenomics Database (CTD),Benzene,D001554,Benzene,https://ctdbase.org/detail.go?type=chem&acc=D001554,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Benzene analog results in increased cleavage of PARP1 protein,,,PMID:15826604,https://www.ncbi.nlm.nih.gov/pubmed/15826604,15826604,,,314567,"Kim YH, Shin KJ, Lee TG, Kim E, Lee MS, Ryu SH, Suh PG. G2 arrest and apoptosis by 2-amino-N-quinoline-8-yl-benzenesulfonamide (QBS), a novel cytotoxic compound. Biochem Pharmacol. 2005 May 01;69(9):1333–41. doi: 10.1016/j.bcp.2004.12.019. PMID: 15826604."
105042,241,Comparative Toxicogenomics Database (CTD),Benzene,D001554,Benzene,https://ctdbase.org/detail.go?type=chem&acc=D001554,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Trichostatin A inhibits the reaction [benzene results in increased methylation of PARP1 promoter]|decitabine inhibits the reaction [benzene results in decreased expression of PARP1 mrna]|trichostatin A inhibits the reaction [benzene results in decreased expression of PARP1 mrna]|benzene results in decreased expression of PARP1 mrna|decitabine inhibits the reaction [benzene results in increased methylation of PARP1 promoter]|benzene results in increased methylation of PARP1 promoter,,,PMID:20230882,https://www.ncbi.nlm.nih.gov/pubmed/20230882,20230882,,,6562335,"Gao A, Zuo X, Liu Q, Lu X, Guo W, Tian L. Methylation of PARP-1 promoter involved in the regulation of benzene-induced decrease of PARP-1 mRNA expression. Toxicol Lett. 2010 Jun 02;195(2-3):114–8. doi: 10.1016/j.toxlet.2010.03.005. PMID: 20230882."
73928,242,Comparative Toxicogenomics Database (CTD),"Benzoic acid, ion(1-)",D001565,Benzoates,https://ctdbase.org/detail.go?type=chem&acc=D001565,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Benzoates analog results in increased cleavage of PARP1 protein,,,PMID:29472718,https://www.ncbi.nlm.nih.gov/pubmed/29472718,29472718,,PMC5940656,33090788,2018; 32(5):1135-1146
119818,264,Comparative Toxicogenomics Database (CTD),Butyric Acid,D020148,Butyric Acid,https://ctdbase.org/detail.go?type=chem&acc=D020148,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Butyric acid results in increased cleavage of PARP1 protein,,,PMID:27830268,https://www.ncbi.nlm.nih.gov/pubmed/27830268,27830268,,,26361869,2016; 91(5):2135-2150
1282,286,Comparative Toxicogenomics Database (CTD),Aminooxyacetic Acid,D000625,Aminooxyacetic Acid,https://ctdbase.org/detail.go?type=chem&acc=D000625,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),[aminooxyacetic acid results in decreased metabolism of selenomethylselenocysteine] which results in decreased expression of PARP1 protein modified form,,,PMID:25321483,https://www.ncbi.nlm.nih.gov/pubmed/25321483,25321483,,PMC4237248,5265836,"Kang Y, Nian H, Rajendran P, Kim E, Dashwood WM, Pinto JT, Boardman LA, Thibodeau SN, Limburg PJ, Löhr CV, Bisson WH, Williams DE, Ho E, Dashwood RH. HDAC8 and STAT3 repress BMF gene activity in colon cancer cells. Cell Death & Disease. 2014 Oct 16;5(10):e1476. doi: 10.1038/cddis.2014.422."
118546,299,Comparative Toxicogenomics Database (CTD),Chlordecone,D007631,Chlordecone,https://ctdbase.org/detail.go?type=chem&acc=D007631,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,10090,Mus musculus (house mouse),Chlordecone results in increased expression of PARP1 mRNA,,,PMID:33711761,https://www.ncbi.nlm.nih.gov/pubmed/33711761,33711761,,,14947287,"Legoff L, D'Cruz SC, Lebosq M, Gely-Pernot A, Bouchekhchoukha K, Monfort C, Kernanec PY, Tevosian S, Multigner L, Smagulova F. Developmental exposure to chlordecone induces transgenerational effects in somatic prostate tissue which are associated with epigenetic histone trimethylation changes. Environ Int. 2021 Jul;152():106472. doi: 10.1016/j.envint.2021.106472. PMID: 33711761."
1313,300,Comparative Toxicogenomics Database (CTD),Chloroacetic acid,C006972,chloroacetic acid,https://ctdbase.org/detail.go?type=chem&acc=C006972,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,10090,Mus musculus (house mouse),Chloroacetic acid results in increased cleavage of PARP1 protein,,,PMID:23103613,https://www.ncbi.nlm.nih.gov/pubmed/23103613,23103613,,,30972499,2013; 303 72-82
118221,323,Comparative Toxicogenomics Database (CTD),Coumarin,C030123,coumarin,https://ctdbase.org/detail.go?type=chem&acc=C030123,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Coumarin analog results in decreased expression of PARP1 mRNA,,,PMID:32578917,https://www.ncbi.nlm.nih.gov/pubmed/32578917,32578917,,,13581682,"Umar S, Soni R, Durgapal SD, Soman S, Balakrishnan S. A synthetic coumarin derivative (4-flourophenylacetamide-acetyl coumarin) impedes cell cycle at G0/G1 stage, induces apoptosis, and inhibits metastasis via ROS-mediated p53 and AKT signaling pathways in A549 cells. J Biochem Mol Toxicol. 2020 Oct;34(10):e22553. doi: 10.1002/jbt.22553. PMID: 32578917."
118222,323,Comparative Toxicogenomics Database (CTD),Coumarin,C030123,coumarin,https://ctdbase.org/detail.go?type=chem&acc=C030123,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Coumarin analog results in increased cleavage of PARP1 protein,,,PMID:31199928,https://www.ncbi.nlm.nih.gov/pubmed/31199928,31199928,,,14235345,"Lin MH, Wang JS, Hsieh YC, Zheng JH, Cho EC. NO2 functionalized coumarin derivatives suppress cancer progression and facilitate apoptotic cell death in KRAS mutant colon cancer. Chem Biol Interact. 2019 Aug 25;309():108708. doi: 10.1016/j.cbi.2019.06.021. PMID: 31199928."
118223,323,Comparative Toxicogenomics Database (CTD),Coumarin,C030123,coumarin,https://ctdbase.org/detail.go?type=chem&acc=C030123,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Coumarin results in decreased activity of PARP1 protein|[coumarin results in decreased activity of PARP1 protein] inhibits the reaction [tetrachlorodibenzodioxin results in decreased abundance of nad]|[coumarin results in decreased activity of PARP1 protein] inhibits the reaction [tetrachlorodibenzodioxin results in decreased abundance of NADP],,,PMID:17669606,https://www.ncbi.nlm.nih.gov/pubmed/17669606,17669606,,,22728614,"Lin PH, Lin CH, Huang CC, Chuang MC, Lin P. 2,3,7,8-Tetrachlorodibenzo-p-dioxin (TCDD) induces oxidative stress, DNA strand breaks, and poly(ADP-ribose) polymerase-1 activation in human breast carcinoma cell lines. Toxicol Lett. 2007 Aug;172(3):146–58. doi: 10.1016/j.toxlet.2007.06.003. PMID: 17669606."
109981,359,Comparative Toxicogenomics Database (CTD),Phloroglucinol,D010696,Phloroglucinol,https://ctdbase.org/detail.go?type=chem&acc=D010696,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,10029,Cricetulus griseus (Chinese hamster),Phloroglucinol results in decreased expression of PARP1 protein modified form,,,PMID:20188716,https://www.ncbi.nlm.nih.gov/pubmed/20188716,20188716,,,12686767,"Kang KA, Zhang R, Chae S, Lee SJ, Kim J, Kim J, Jeong J, Lee J, Shin T, Lee NH, Hyun JW. Phloroglucinol (1,3,5-trihydroxybenzene) protects against ionizing radiation-induced cell damage through inhibition of oxidative stress in vitro and in vivo. Chem Biol Interact. 2010 May 14;185(3):215–26. doi: 10.1016/j.cbi.2010.02.031. PMID: 20188716."
109982,359,Comparative Toxicogenomics Database (CTD),Phloroglucinol,D010696,Phloroglucinol,https://ctdbase.org/detail.go?type=chem&acc=D010696,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Phloroglucinol analog results in increased cleavage of PARP1 protein,,,PMID:23178381,https://www.ncbi.nlm.nih.gov/pubmed/23178381,23178381,,,14064681,"Sun Y, Gao C, Luo M, Wang W, Gu C, Zu Y, Li J, Efferth T, Fu Y. Aspidin PB, a phloroglucinol derivative, induces apoptosis in human hepatocarcinoma HepG2 cells by modulating PI3K/Akt/GSK3ß pathway. Chem Biol Interact. 2013 Jan 25;201(1-3):1–8. doi: 10.1016/j.cbi.2012.11.005. PMID: 23178381."
109983,359,Comparative Toxicogenomics Database (CTD),Phloroglucinol,D010696,Phloroglucinol,https://ctdbase.org/detail.go?type=chem&acc=D010696,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Phloroglucinol metabolite results in increased cleavage of PARP1 protein,,,PMID:22796323,https://www.ncbi.nlm.nih.gov/pubmed/22796323,22796323,,,1121127,"Zhang Y, Luo M, Zu Y, Fu Y, Gu C, Wang W, Yao L, Efferth T. Dryofragin, a phloroglucinol derivative, induces apoptosis in human breast cancer MCF-7 cells through ROS-mediated mitochondrial pathway. Chem Biol Interact. 2012 Aug 30;199(2):129–36. doi: 10.1016/j.cbi.2012.06.007. PMID: 22796323."
105997,370,Comparative Toxicogenomics Database (CTD),Gallic Acid,D005707,Gallic Acid,https://ctdbase.org/detail.go?type=chem&acc=D005707,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),"Gallic acid results in increased cleavage of PARP1 protein|1,2-bis(2-aminophenoxy)ethane N,N,N',N'-tetraacetic acid acetoxymethyl ester inhibits the reaction [gallic acid results in increased cleavage of PARP1 protein]",,,PMID:27060209,https://www.ncbi.nlm.nih.gov/pubmed/27060209,27060209,,,22243021,"Hsu SS, Chou CT, Liao WC, Shieh P, Kuo DH, Kuo CC, Jan CR, Liang WZ. The effect of gallic acid on cytotoxicity, Ca(2+) homeostasis and ROS production in DBTRG-05MG human glioblastoma cells and CTX TNA2 rat astrocytes. Chem Biol Interact. 2016 May 25;252():61–73. doi: 10.1016/j.cbi.2016.04.010. PMID: 27060209."
116678,449,Comparative Toxicogenomics Database (CTD),Mevalonic Acid,D008798,Mevalonic Acid,https://ctdbase.org/detail.go?type=chem&acc=D008798,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Mevalonic acid inhibits the reaction [TNFSF10 protein promotes the reaction [simvastatin results in increased cleavage of PARP1 protein]]|mevalonic acid inhibits the reaction [simvastatin promotes the reaction [TNFSF10 protein results in increased cleavage of PARP1 protein]],,,PMID:21910007,https://www.ncbi.nlm.nih.gov/pubmed/21910007,21910007,,PMC4372201,23502040,2011; 16(12):1268-1284
116679,449,Comparative Toxicogenomics Database (CTD),Mevalonic Acid,D008798,Mevalonic Acid,https://ctdbase.org/detail.go?type=chem&acc=D008798,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Mevalonic acid inhibits the reaction [simvastatin results in increased cleavage of PARP1 protein],,,PMID:20045437,https://www.ncbi.nlm.nih.gov/pubmed/20045437,20045437,,,32241704,"Ghavami S, Mutawe MM, Hauff K, Stelmack GL, Schaafsma D, Sharma P, McNeill KD, Hynes TS, Kung SK, Unruh H, Klonisch T, Hatch GM, Los M, Halayko AJ. Statin-triggered cell death in primary human lung mesenchymal cells involves p53-PUMA and release of Smac and Omi but not cytochrome c. Biochimica et Biophysica Acta (BBA) - Molecular Cell Research. 2010 Apr;1803(4):452–67. doi: 10.1016/j.bbamcr.2009.12.005."
129136,544,Comparative Toxicogenomics Database (CTD),Arsenite ion,C015001,arsenite,https://ctdbase.org/detail.go?type=chem&acc=C015001,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9913,Bos taurus (cattle),CAT protein inhibits the reaction [[epigallocatechin gallate co-treated with arsenite] results in increased cleavage of PARP1 protein]|[epigallocatechin gallate co-treated with arsenite] results in increased cleavage of PARP1 protein,,,PMID:26375285,https://www.ncbi.nlm.nih.gov/pubmed/26375285,26375285,,PMC4574201,33717518,"Kim J, Choi J, Lee H, Byun CJ, Park J, Park JH, Cho H, Cho S, Jo SA, Jo I. The Green Tea Component (-)-Epigallocatechin-3-Gallate Sensitizes Primary Endothelial Cells to Arsenite-Induced Apoptosis by Decreasing c-Jun N-Terminal Kinase-Mediated Catalase Activity. PLoS ONE. 2015 Sep 16;10(9):e0138590. doi: 10.1371/journal.pone.0138590."
129137,544,Comparative Toxicogenomics Database (CTD),Arsenite ion,C015001,arsenite,https://ctdbase.org/detail.go?type=chem&acc=C015001,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Acetovanillone inhibits the reaction [arsenite results in increased oxidation of PARP1 protein]|arsenite results in increased oxidation of PARP1 protein,,,PMID:34798142,https://www.ncbi.nlm.nih.gov/pubmed/34798142,34798142,,PMC10115133,12958291,"Cooper KL, Volk LB, Dominguez DR, Duran AD, Ke Jian Liu KJ, Hudson LG. Contribution of NADPH oxidase to the retention of UVR-induced DNA damage by arsenic. Toxicology and Applied Pharmacology. 2022 Jan;434():115799. doi: 10.1016/j.taap.2021.115799."
129138,544,Comparative Toxicogenomics Database (CTD),Arsenite ion,C015001,arsenite,https://ctdbase.org/detail.go?type=chem&acc=C015001,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Arsenite results in decreased activity of PARP1 protein,,,PMID:17011244|PMID:18707137|PMID:22387748,https://www.ncbi.nlm.nih.gov/pubmed/17011244|https://www.ncbi.nlm.nih.gov/pubmed/18707137|https://www.ncbi.nlm.nih.gov/pubmed/22387748,17011244|18707137|22387748,,PMC3327874|PMC3606021,5823358|24903500|25134446,"Qin XJ, Liu W, Li YN, Sun X, Hai CX, Hudson LG, Liu KJ. Poly(ADP-ribose) polymerase-1 inhibition by arsenite promotes the survival of cells with unrepaired DNA lesions induced by UV exposure. Toxicol Sci. 2012 May;127(1):120–9. PMID: 22387748; PMCID: PMC3327874.|Qin XJ, Hudson LG, Liu W, Ding W, Cooper KL, Liu KJ. Dual actions involved in arsenite-induced oxidative DNA damage. Chem Res Toxicol. 2008 Sep;21(9):1806–13. PMID: 18707137; PMCID: PMC3606021.|Walter I, Schwerdtle T, Thuy C, Parsons JL, Dianov GL, Hartwig A. Impact of arsenite and its methylated metabolites on PARP-1 activity, PARP-1 gene expression and poly(ADP-ribosyl)ation in cultured human cells. DNA Repair. 2007 Jan;6(1):61–70. doi: 10.1016/j.dnarep.2006.08.008."
129139,544,Comparative Toxicogenomics Database (CTD),Arsenite ion,C015001,arsenite,https://ctdbase.org/detail.go?type=chem&acc=C015001,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Arsenite results in decreased cleavage of PARP1 protein|[arsenite results in decreased activity of PARP1 protein] which results in decreased cleavage of and results in decreased activity of CASP7 protein|[arsenite results in decreased activity of PARP1 protein] which affects the localization of CYCS protein|[arsenite results in decreased activity of PARP1 protein] which results in decreased cleavage of and results in decreased activity of CASP3 protein|[arsenite results in decreased activity of PARP1 protein] which results in decreased cleavage of and results in decreased activity of CASP9 protein|parp1 protein affects the susceptibility to arsenite|[arsenite results in decreased activity of PARP1 protein] which affects the localization of AIFM1 protein|[arsenite results in decreased activity of PARP1 protein] which results in decreased chemical synthesis of poly adenosine diphosphate ribose,,,PMID:22387748,https://www.ncbi.nlm.nih.gov/pubmed/22387748,22387748,,PMC3327874,24903500,"Qin XJ, Liu W, Li YN, Sun X, Hai CX, Hudson LG, Liu KJ. Poly(ADP-ribose) polymerase-1 inhibition by arsenite promotes the survival of cells with unrepaired DNA lesions induced by UV exposure. Toxicol Sci. 2012 May;127(1):120–9. PMID: 22387748; PMCID: PMC3327874."
129140,544,Comparative Toxicogenomics Database (CTD),Arsenite ion,C015001,arsenite,https://ctdbase.org/detail.go?type=chem&acc=C015001,142,PARP1,https://ctdbase.org/detail.go?type=gene&acc=142,,,142,PARP1,9606,Homo sapiens (human),Arsenite results in increased cleavage of PARP1 protein,,,PMID:20083129|PMID:22260869,https://www.ncbi.nlm.nih.gov/pubmed/20083129|https://www.ncbi.nlm.nih.gov/pubmed/22260869,20083129|22260869,,,16779507|21453390,"Keim A, Rössler OG, Rothhaar TL, Thiel G. Arsenite-induced apoptosis of human neuroblastoma cells requires p53 but occurs independently of c-Jun. Neuroscience. 2012 Mar 29;206():25–38. doi: 10.1016/j.neuroscience.2012.01.001. PMID: 22260869.|Yadav S, Shi Y, Wang F, Wang H. Arsenite induces apoptosis in human mesenchymal stem cells by altering Bcl-2 family proteins and by activating intrinsic pathway. Toxicol Appl Pharmacol. 2010 May 01;244(3):263–72. doi: 10.1016/j.taap.2010.01.001. PMID: 20083129."
